中国科学技术大学出版社 安微 7321
中国青年出版社 北京 75167
中国青年教育音像出版社 北京 788042
中国青少年电子音像出版社 北京 7900114
中国轻工业出版社 北京 74819
中国轻工业出版社 北京 75019
中国曲艺 北京 780008
中国人口出版社 北京 75101
中国人口出版社 北京 780079
中国人口出版社 北京 780202
中国人民大学出版社 北京 300
中国人民大学出版社 北京 7000
中国人民大学出版社 北京 7300
中国人民大学出版社 北京 73000
中国人民大学出版社 北京 73001
中国人民大学音像出版社 北京 788702
中国人民公安大学出版社 北京 771011
中国人民公安大学出版社 北京 781011
中国人民公安大学出版社 北京 781059
中国人民公安大学出版社 北京 781109
中国人民公安大学出版社 北京 781138
中国人民公安大学出版社 北京 781139
中国人民公安大学出版社 北京 784059
中国人民公安大学出版社 北京 7900650
中国人民解放军音像出版社 北京 788051
中国人事出版社 北京 780076
中国人事出版社 北京 780139
中国人事出版社 北京 780189
中国三环音像社 北京 788054
中国三峡出版社 北京 780099
中国三峡出版社 北京 780223
中国三峡出版社 北京 978780223
中国商务出版社 北京 75103
中国商务出版社 北京 780181
中国商业 北京 75504
中国商业出版社 北京 72044
中国商业出版社 北京 75044
中国商业出版社 北京 75944
中国少年儿童出版社 北京 75007
中国社会出版社 北京 75087
中国社会出版社 北京 780088
中国社会出版社 北京 780146
中国社会科学出版社 北京 75004
中国摄影出版社 北京 780007
中国摄影出版社 北京 780236
中国审计出版社 北京 780064
中国石化出版社 北京 708343
中国石化出版社 北京 75114
中国石化出版社 北京 780043
中国石化出版社 北京 780164
中国石化出版社 北京 780229
中国石化出版社 北京 780264
中国时代经济出版社 北京 780169
中国时代经济出版社 北京 780221
中国食品出版社 北京 780044
中国世界语出版社 北京 75052
中国市场出版社 北京 75092
中国书店 北京 780568
中国书店 北京 780663
中国书籍出版社 北京 75068
中国水利水电出版社 北京 708124
中国水利水电出版社 北京 75084
中国水利水电出版社 北京 780124
中国水利水电出版社 北京 789998
中国水利水电出版社 北京 789999
中国水利水电出版社 北京 7900228
中国水利水电出版社 北京 7980028
中国水利水电出版社 北京 7980030
中国水利水电出版社 北京 7980034
中国水利水电出版社 北京 7980040
中国水利水电出版社 北京 7980044
中国税务出版社 北京 780117
中国税务出版社 北京 780235
中国铁道出版社 北京 7113
中国铁道出版社 北京 7133
中国统计出版社 北京 75037
中国图书出版社 北京 798205
中国文采声像出版公司 北京 788045
中国文联出版公司 北京 75059
中国文联出版社 北京 72059
中国文联音像出版社 北京 788077
中国文联音像出版社 北京 788085
中国文史出版社 北京 75034
中国文学出版社 北京 75071
中国舞蹈出版社 北京 780075
中国物价出版社 北京 780070
中国物资出版社 北京 75047
中国戏剧出版社 北京 7104
中国戏剧出版社 北京 71040
中国线装书局 北京 780106
中国协和医科大学出版社 北京 781072
中国协和医科大学出版社 北京 781136
中国新闻 北京 780041
中国信息年鉴期刊社 北京 789497
中国言实出版社 北京 780128
中国言实出版社 北京 780250
中国医药科技出版社 北京 75067
中国医药科技音像出版社 北京 788728
中国音乐家音像出版社 北京 788044
中国音乐家音像出版社 北京 788079
中国音像评价出版社 北京 788024
中国友谊出版公司 北京 75057
中国宇航出版社 北京 780218
中国宇航出版社 北京 7900248
中国展望出版社 北京 75050
